d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.8470,0.0153,0.8015,0.0111
0,0,1,20,4,156,0.8991,0.0115,0.8613,0.0103
0,0,1,25,4,196,0.8997,0.0125,0.8655,0.0102
0,0,1,30,4,236,0.9061,0.0103,0.8777,0.0105
0,0,1,35,4,276,0.9067,0.0081,0.8820,0.0093
0,0,1,40,4,316,0.9085,0.0126,0.8845,0.0106
0,0,1,45,4,356,0.9119,0.0126,0.8875,0.0078
0,0,1,50,4,396,0.9107,0.0098,0.8896,0.0072
0,0,1,55,4,436,0.9171,0.0121,0.8881,0.0083
0,0,1,60,4,476,0.9104,0.0096,0.8921,0.0098
0,0,1,65,4,516,0.9146,0.0099,0.8902,0.0076
0,0,1,70,4,556,0.9140,0.0133,0.8921,0.0072
0,0,1,10,6,114,0.8680,0.0108,0.8274,0.0092
0,0,1,20,6,234,0.9088,0.0095,0.8826,0.0172
0,0,1,25,6,294,0.9088,0.0102,0.8860,0.0159
0,0,1,30,6,354,0.9143,0.0136,0.8945,0.0149
0,0,1,35,6,414,0.9152,0.0098,0.8924,0.0137
0,0,1,40,6,474,0.9174,0.0087,0.8942,0.0134
0,0,1,45,6,534,0.9174,0.0127,0.8979,0.0127
0,0,1,50,6,594,0.9162,0.0100,0.8957,0.0141
0,0,1,55,6,654,0.9192,0.0126,0.9000,0.0117
0,0,1,60,6,714,0.9213,0.0103,0.9018,0.0123
0,0,1,65,6,774,0.9165,0.0127,0.9049,0.0123
0,0,1,70,6,834,0.9155,0.0093,0.9018,0.0107
0,0,1,10,8,152,0.8872,0.0099,0.8372,0.0153
0,0,1,20,8,312,0.9159,0.0066,0.8887,0.0135
0,0,1,25,8,392,0.9174,0.0097,0.8973,0.0090
0,0,1,30,8,472,0.9229,0.0103,0.8982,0.0086
0,0,1,35,8,552,0.9204,0.0118,0.9049,0.0108
0,0,1,40,8,632,0.9204,0.0117,0.9015,0.0155
0,0,1,45,8,712,0.9204,0.0088,0.8994,0.0130
0,0,1,50,8,792,0.9192,0.0106,0.9070,0.0118
0,0,1,55,8,872,0.9238,0.0131,0.9088,0.0151
0,0,1,60,8,952,0.9223,0.0085,0.9067,0.0133
0,0,1,65,8,1032,0.9204,0.0080,0.9067,0.0082
0,0,1,70,8,1112,0.9192,0.0127,0.9015,0.0096
0,0,1,10,10,190,0.8905,0.0098,0.8485,0.0106
0,0,1,20,10,390,0.9174,0.0131,0.8832,0.0150
0,0,1,25,10,490,0.9146,0.0121,0.8823,0.0124
0,0,1,30,10,590,0.9149,0.0108,0.8918,0.0103
0,0,1,35,10,690,0.9186,0.0105,0.8957,0.0128
0,0,1,40,10,790,0.9155,0.0136,0.8979,0.0121
0,0,1,45,10,890,0.9201,0.0119,0.8991,0.0096
0,0,1,50,10,990,0.9210,0.0125,0.9018,0.0105
0,0,1,55,10,1090,0.9207,0.0123,0.9061,0.0113
0,0,1,60,10,1190,0.9180,0.0109,0.9043,0.0106
0,0,1,65,10,1290,0.9189,0.0157,0.9064,0.0105
