d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
0,0,1,15,4,0.9282,0.0389,0.9305,0.0399
0,0,1,20,4,0.9381,0.0297,0.9380,0.0335
0,0,1,30,4,0.9431,0.0331,0.9455,0.0289
0,0,1,40,4,0.9405,0.0354,0.9455,0.0288
0,0,1,50,4,0.9380,0.0276,0.9355,0.0298
0,0,1,15,6,0.9554,0.0241,0.9430,0.0293
0,0,1,15,8,0.9554,0.0215,0.9505,0.0271
0,0,1,20,8,0.9580,0.0245,0.9530,0.0232
0,0,1,30,8,0.9605,0.0248,0.9629,0.0227
0,0,1,10,4,0.9206,0.0521,0.9256,0.0383
0,0,1,25,4,0.9530,0.0280,0.9405,0.0354
0,0,1,35,4,0.9505,0.0271,0.9355,0.0389
0,0,1,45,4,0.9405,0.0373,0.9354,0.0358
0,0,1,55,4,0.9379,0.0406,0.9404,0.0357
0,0,1,60,4,0.9331,0.0368,0.9404,0.0357
0,0,1,65,4,0.9429,0.0354,0.9379,0.0374
0,0,1,70,4,0.9404,0.0374,0.9354,0.0389
0,0,1,10,6,0.9230,0.0463,0.9380,0.0336
0,0,1,20,6,0.9479,0.0305,0.9454,0.0289
0,0,1,25,6,0.9529,0.0207,0.9477,0.0236
0,0,1,30,6,0.9652,0.0255,0.9552,0.0186
