d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.9182,0.0534,0.9256,0.0383
0,0,1,20,4,156,0.9381,0.0371,0.9380,0.0318
0,0,1,25,4,196,0.9530,0.0280,0.9405,0.0354
0,0,1,30,4,236,0.9430,0.0293,0.9380,0.0337
0,0,1,35,4,276,0.9505,0.0271,0.9355,0.0389
0,0,1,40,4,316,0.9305,0.0430,0.9354,0.0406
0,0,1,45,4,356,0.9405,0.0373,0.9354,0.0358
0,0,1,10,8,152,0.9479,0.0359,0.9404,0.0373
0,0,1,20,8,312,0.9579,0.0313,0.9479,0.0259
0,0,1,30,8,472,0.9579,0.0353,0.9502,0.0224
0,0,1,10,12,228,0.9504,0.0332,0.9280,0.0341
0,0,1,20,12,468,0.9677,0.0317,0.9528,0.0259
0,0,1,30,12,708,0.9577,0.0196,0.9626,0.0340
0,0,1,10,16,304,0.9528,0.0362,0.9552,0.0312
0,0,1,20,16,624,0.9677,0.0224,0.9527,0.0263
0,0,1,30,16,944,0.9702,0.0244,0.9552,0.0350
0,0,1,10,20,380,0.9503,0.0354,0.9454,0.0384
0,0,1,20,20,780,0.9602,0.0356,0.9652,0.0278
0,0,1,30,20,1180,0.9602,0.0320,0.9676,0.0296
0,1,0,10,4,76,0.9254,0.0448,0.9105,0.0374
0,1,0,20,4,156,0.9304,0.0351,0.9254,0.0355
0,1,0,30,4,236,0.9304,0.0351,0.9355,0.0298
0,1,0,10,8,152,0.9379,0.0300,0.9305,0.0290
0,1,0,20,8,312,0.9353,0.0451,0.9230,0.0307
0,1,0,30,8,472,0.9329,0.0197,0.9305,0.0244
0,1,0,10,12,228,0.9428,0.0275,0.9329,0.0318
0,1,0,20,12,468,0.9402,0.0302,0.9329,0.0355
0,1,0,30,12,708,0.9377,0.0303,0.9355,0.0372
0,1,0,10,16,304,0.9454,0.0291,0.9354,0.0340
0,1,0,20,16,624,0.9404,0.0229,0.9429,0.0251
0,1,0,30,16,944,0.9305,0.0331,0.9454,0.0217
0,1,0,10,20,380,0.9504,0.0224,0.9405,0.0318
0,1,0,20,20,780,0.9305,0.0267,0.9380,0.0337
0,1,0,30,20,1180,0.9355,0.0228,0.9429,0.0273
0,1,1,10,4,148,0.9255,0.0273,0.9279,0.0362
0,1,1,20,4,308,0.9231,0.0234,0.9379,0.0199
0,1,1,30,4,468,0.9280,0.0324,0.9479,0.0260
0,1,1,10,8,296,0.9279,0.0363,0.9353,0.0407
0,1,1,20,8,616,0.9404,0.0373,0.9527,0.0379
0,1,1,30,8,936,0.9404,0.0338,0.9677,0.0226
0,1,1,10,12,444,0.9404,0.0477,0.9502,0.0419
0,1,1,20,12,924,0.9429,0.0372,0.9626,0.0392
0,1,1,30,12,1404,0.9378,0.0408,0.9552,0.0333
0,1,1,10,16,592,0.9379,0.0340,0.9502,0.0317
0,1,1,20,16,1232,0.9429,0.0417,0.9602,0.0321
0,1,1,30,16,1872,0.9379,0.0339,0.9676,0.0355
0,1,1,10,20,740,0.9429,0.0354,0.9602,0.0357
0,1,1,20,20,1540,0.9553,0.0245,0.9702,0.0244
0,1,1,30,20,2340,0.9502,0.0434,0.9627,0.0376
1,0,0,10,4,76,0.9230,0.0340,0.9106,0.0297
1,0,0,20,4,156,0.9279,0.0327,0.9228,0.0396
1,0,0,30,4,236,0.9280,0.0262,0.9354,0.0405
1,0,0,10,8,152,0.9230,0.0323,0.9156,0.0336
1,0,0,20,8,312,0.9005,0.0463,0.9229,0.0326
1,0,0,30,8,472,0.9129,0.0451,0.9354,0.0356
1,0,0,10,12,228,0.9156,0.0298,0.9155,0.0338
1,0,0,20,12,468,0.9354,0.0300,0.9330,0.0296
1,0,0,30,12,708,0.9279,0.0262,0.9279,0.0263
1,0,0,10,16,304,0.9231,0.0465,0.9305,0.0245
1,0,0,20,16,624,0.9179,0.0339,0.9255,0.0249
1,0,0,30,16,944,0.9279,0.0263,0.9429,0.0195
1,0,0,10,20,380,0.9329,0.0356,0.9330,0.0222
1,0,0,20,20,780,0.9230,0.0323,0.9380,0.0254
1,0,0,30,20,1180,0.9454,0.0268,0.9479,0.0173
1,0,1,10,4,148,0.9255,0.0249,0.9230,0.0283
1,0,1,20,4,308,0.9305,0.0347,0.9379,0.0353
1,0,1,30,4,468,0.9352,0.0376,0.9302,0.0386
1,0,1,10,8,296,0.9480,0.0301,0.9429,0.0276
1,0,1,20,8,616,0.9405,0.0299,0.9428,0.0276
1,0,1,30,8,936,0.9380,0.0339,0.9502,0.0316
1,0,1,10,12,444,0.9380,0.0337,0.9329,0.0298
1,0,1,20,12,924,0.9404,0.0374,0.9527,0.0395
1,0,1,30,12,1404,0.9305,0.0441,0.9355,0.0418
1,0,1,10,16,592,0.9206,0.0429,0.9330,0.0193
1,0,1,20,16,1232,0.9404,0.0437,0.9454,0.0289
1,0,1,30,16,1872,0.9479,0.0425,0.9529,0.0260
1,0,1,10,20,740,0.9504,0.0295,0.9454,0.0245
