d,f,c,thre_inc,n_modes,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,0.8483,0.0376,0.7867,0.0340
0,0,1,20,4,0.8783,0.0388,0.8117,0.0454
0,0,1,25,4,0.8683,0.0383,0.8083,0.0467
0,0,1,30,4,0.8850,0.0252,0.8400,0.0309
0,0,1,35,4,0.8800,0.0233,0.8267,0.0359
0,0,1,40,4,0.8700,0.0267,0.8200,0.0414
0,0,1,45,4,0.8783,0.0380,0.8233,0.0291
0,0,1,50,4,0.8750,0.0344,0.8333,0.0373
0,0,1,10,6,0.8767,0.0374,0.8200,0.0296
0,0,1,20,6,0.8667,0.0453,0.8350,0.0383
0,0,1,25,6,0.8633,0.0427,0.8317,0.0391
0,0,1,30,6,0.8817,0.0320,0.8400,0.0300
0,0,1,35,6,0.8800,0.0267,0.8433,0.0318
0,0,1,40,6,0.8683,0.0462,0.8300,0.0267
0,0,1,45,6,0.8933,0.0351,0.8383,0.0342
0,0,1,50,6,0.8733,0.0410,0.8467,0.0356
0,0,1,10,8,0.8850,0.0361,0.8283,0.0428
0,0,1,20,8,0.8617,0.0511,0.8450,0.0299
0,0,1,25,8,0.8750,0.0443,0.8500,0.0247
0,0,1,30,8,0.8650,0.0425,0.8583,0.0403
0,0,1,35,8,0.8550,0.0317,0.8483,0.0273
0,0,1,40,8,0.8650,0.0361,0.8517,0.0293
0,0,1,45,8,0.8600,0.0501,0.8483,0.0302
0,0,1,50,8,0.8733,0.0367,0.8517,0.0391
0,0,1,10,10,0.8717,0.0415,0.8467,0.0194
0,0,1,20,10,0.8750,0.0534,0.8483,0.0302
0,0,1,25,10,0.8767,0.0564,0.8583,0.0261
0,0,1,30,10,0.8700,0.0379,0.8633,0.0340
0,0,1,35,10,0.8583,0.0410,0.8567,0.0396
0,0,1,40,10,0.8483,0.0383,0.8483,0.0353
0,0,1,45,10,0.8500,0.0387,0.8583,0.0367
0,0,1,50,10,0.8700,0.0407,0.8483,0.0320
0,0,1,10,12,0.8733,0.0501,0.8483,0.0293
0,0,1,20,12,0.8817,0.0519,0.8583,0.0318
0,0,1,25,12,0.8933,0.0436,0.8550,0.0380
0,0,1,30,12,0.8900,0.0318,0.8717,0.0380
0,0,1,35,12,0.8633,0.0414,0.8650,0.0398
0,0,1,40,12,0.8767,0.0281,0.8600,0.0309
0,0,1,45,12,0.8550,0.0198,0.8617,0.0259
0,0,1,50,12,0.8650,0.0431,0.8667,0.0289
0,0,1,10,14,0.8767,0.0327,0.8533,0.0348
0,0,1,20,14,0.8883,0.0441,0.8633,0.0379
0,0,1,25,14,0.8750,0.0201,0.8683,0.0302
0,0,1,30,14,0.9050,0.0224,0.8700,0.0287
0,0,1,35,14,0.8667,0.0387,0.8633,0.0323
0,0,1,40,14,0.8867,0.0323,0.8650,0.0353
0,0,1,45,14,0.8867,0.0233,0.8683,0.0369
0,0,1,50,14,0.8617,0.0435,0.8617,0.0415
0,0,1,10,16,0.8767,0.0501,0.8583,0.0382
0,0,1,20,16,0.9017,0.0411,0.8567,0.0343
0,0,1,25,16,0.8867,0.0452,0.8617,0.0388
0,0,1,30,16,0.8983,0.0320,0.8667,0.0380
0,0,1,35,16,0.8583,0.0430,0.8617,0.0299
0,0,1,40,16,0.8867,0.0364,0.8667,0.0357
0,0,1,45,16,0.8767,0.0410,0.8617,0.0289
0,0,1,50,16,0.8750,0.0430,0.8667,0.0307
0,0,1,10,18,0.8917,0.0352,0.8550,0.0236
0,0,1,20,18,0.8833,0.0415,0.8617,0.0342
0,0,1,25,18,0.8867,0.0510,0.8717,0.0350
0,0,1,30,18,0.8983,0.0376,0.8717,0.0395
0,0,1,35,18,0.8733,0.0403,0.8683,0.0391
0,0,1,40,18,0.8850,0.0361,0.8733,0.0200
0,0,1,45,18,0.8900,0.0351,0.8750,0.0310
0,0,1,50,18,0.8750,0.0479,0.8633,0.0287
0,0,1,10,20,0.8900,0.0396,0.8600,0.0351
0,0,1,20,20,0.8950,0.0289,0.8700,0.0314
0,0,1,25,20,0.8817,0.0369,0.8683,0.0398
0,0,1,30,20,0.8900,0.0327,0.8783,0.0395
0,0,1,35,20,0.8833,0.0357,0.8767,0.0300
0,0,1,40,20,0.8800,0.0306,0.8717,0.0211
0,0,1,45,20,0.8783,0.0308,0.8733,0.0327
0,0,1,50,20,0.8817,0.0437,0.8633,0.0340
0,1,0,10,4,0.8117,0.0435,0.7767,0.0573
0,1,0,20,4,0.8367,0.0482,0.7983,0.0519
0,1,0,25,4,0.8283,0.0483,0.7933,0.0523
0,1,0,30,4,0.8317,0.0425,0.8017,0.0669
0,1,0,35,4,0.8433,0.0578,0.8050,0.0587
0,1,0,40,4,0.8483,0.0589,0.7950,0.0578
0,1,0,45,4,0.8400,0.0583,0.8100,0.0611
0,1,0,50,4,0.8383,0.0568,0.8083,0.0507
0,1,0,10,6,0.8267,0.0602,0.7883,0.0730
0,1,0,20,6,0.8433,0.0507,0.8000,0.0532
0,1,0,25,6,0.8467,0.0433,0.8067,0.0461
0,1,0,30,6,0.8333,0.0408,0.8017,0.0524
0,1,0,35,6,0.8367,0.0400,0.8067,0.0473
0,1,0,40,6,0.8417,0.0484,0.7983,0.0480
0,1,0,45,6,0.8383,0.0527,0.8233,0.0512
0,1,0,50,6,0.8367,0.0371,0.8183,0.0425
0,1,0,10,8,0.8450,0.0568,0.8033,0.0686
0,1,0,20,8,0.8483,0.0513,0.8067,0.0410
0,1,0,25,8,0.8600,0.0467,0.7983,0.0391
0,1,0,30,8,0.8383,0.0454,0.7983,0.0431
0,1,0,35,8,0.8450,0.0448,0.8017,0.0437
0,1,0,40,8,0.8317,0.0508,0.7967,0.0531
0,1,0,45,8,0.8383,0.0538,0.8133,0.0440
0,1,0,50,8,0.8550,0.0597,0.8117,0.0415
0,1,0,10,10,0.8417,0.0501,0.7850,0.0524
0,1,0,20,10,0.8500,0.0511,0.8050,0.0472
0,1,0,25,10,0.8500,0.0592,0.8000,0.0558
0,1,0,30,10,0.8417,0.0501,0.8033,0.0531
0,1,0,35,10,0.8433,0.0473,0.8117,0.0568
0,1,0,40,10,0.8450,0.0483,0.8067,0.0651
0,1,0,45,10,0.8500,0.0543,0.8183,0.0575
0,1,0,50,10,0.8517,0.0418,0.8233,0.0455
0,1,0,10,12,0.8583,0.0501,0.7950,0.0558
0,1,0,20,12,0.8483,0.0524,0.8133,0.0591
0,1,0,25,12,0.8433,0.0501,0.7950,0.0578
0,1,0,30,12,0.8467,0.0371,0.8150,0.0560
0,1,0,35,12,0.8517,0.0550,0.8100,0.0659
0,1,0,40,12,0.8500,0.0453,0.8017,0.0584
0,1,0,45,12,0.8533,0.0572,0.8267,0.0633
0,1,0,50,12,0.8500,0.0500,0.8233,0.0646
0,1,0,10,14,0.8467,0.0591,0.8033,0.0618
0,1,0,20,14,0.8617,0.0435,0.8133,0.0576
0,1,0,25,14,0.8567,0.0549,0.7983,0.0545
0,1,0,30,14,0.8367,0.0542,0.8100,0.0620
0,1,0,35,14,0.8450,0.0538,0.8083,0.0597
0,1,0,40,14,0.8417,0.0461,0.8083,0.0620
0,1,0,45,14,0.8400,0.0416,0.8150,0.0535
0,1,0,50,14,0.8517,0.0418,0.8250,0.0449
0,1,0,10,16,0.8567,0.0523,0.8050,0.0587
0,1,0,20,16,0.8517,0.0669,0.8133,0.0623
0,1,0,25,16,0.8533,0.0591,0.8083,0.0518
0,1,0,30,16,0.8450,0.0454,0.8233,0.0620
0,1,0,35,16,0.8500,0.0506,0.8200,0.0605
0,1,0,40,16,0.8417,0.0449,0.8133,0.0609
0,1,0,45,16,0.8517,0.0570,0.8167,0.0715
0,1,0,50,16,0.8567,0.0549,0.8317,0.0513
0,1,0,10,18,0.8350,0.0486,0.8067,0.0528
0,1,0,20,18,0.8417,0.0490,0.8150,0.0502
0,1,0,25,18,0.8600,0.0335,0.8167,0.0422
0,1,0,30,18,0.8500,0.0342,0.8217,0.0533
0,1,0,35,18,0.8500,0.0365,0.8133,0.0586
0,1,0,40,18,0.8533,0.0323,0.8250,0.0544
0,1,0,45,18,0.8383,0.0628,0.8200,0.0557
0,1,0,50,18,0.8517,0.0418,0.8283,0.0538
0,1,0,10,20,0.8367,0.0591,0.8000,0.0527
0,1,0,20,20,0.8367,0.0557,0.8250,0.0473
0,1,0,25,20,0.8583,0.0479,0.8133,0.0576
0,1,0,30,20,0.8517,0.0411,0.8283,0.0558
0,1,0,35,20,0.8533,0.0567,0.8083,0.0602
0,1,0,40,20,0.8450,0.0441,0.8133,0.0557
0,1,0,45,20,0.8433,0.0554,0.8233,0.0588
0,1,0,50,20,0.8450,0.0334,0.8200,0.0521
0,1,1,10,4,0.8683,0.0229,0.8317,0.0513
0,1,1,20,4,0.8667,0.0333,0.8350,0.0580
0,1,1,25,4,0.8733,0.0429,0.8433,0.0473
0,1,1,30,4,0.8767,0.0448,0.8400,0.0544
0,1,1,35,4,0.8867,0.0440,0.8433,0.0496
0,1,1,40,4,0.8767,0.0478,0.8450,0.0409
0,1,1,45,4,0.8833,0.0428,0.8367,0.0458
0,1,1,50,4,0.8567,0.0484,0.8500,0.0428
0,1,1,10,6,0.8783,0.0317,0.8450,0.0409
0,1,1,20,6,0.8800,0.0476,0.8450,0.0388
0,1,1,25,6,0.8767,0.0351,0.8583,0.0318
0,1,1,30,6,0.8900,0.0359,0.8583,0.0410
0,1,1,35,6,0.8833,0.0325,0.8567,0.0410
0,1,1,40,6,0.8767,0.0382,0.8467,0.0393
0,1,1,45,6,0.8867,0.0314,0.8550,0.0402
0,1,1,50,6,0.8800,0.0458,0.8583,0.0423
0,1,1,10,8,0.8833,0.0325,0.8433,0.0382
0,1,1,20,8,0.8733,0.0410,0.8450,0.0454
0,1,1,25,8,0.8783,0.0358,0.8533,0.0407
0,1,1,30,8,0.8800,0.0464,0.8600,0.0455
0,1,1,35,8,0.8683,0.0391,0.8500,0.0453
0,1,1,40,8,0.8733,0.0416,0.8617,0.0380
0,1,1,45,8,0.8833,0.0333,0.8600,0.0473
0,1,1,50,8,0.8767,0.0367,0.8583,0.0410
0,1,1,10,10,0.8800,0.0386,0.8550,0.0460
0,1,1,20,10,0.8733,0.0442,0.8533,0.0515
0,1,1,25,10,0.8667,0.0350,0.8467,0.0364
0,1,1,30,10,0.8900,0.0442,0.8550,0.0511
0,1,1,35,10,0.8617,0.0435,0.8700,0.0379
0,1,1,40,10,0.8633,0.0306,0.8567,0.0396
0,1,1,45,10,0.8850,0.0337,0.8550,0.0409
0,1,1,50,10,0.8667,0.0380,0.8633,0.0364
0,1,1,10,12,0.8850,0.0293,0.8517,0.0361
0,1,1,20,12,0.8733,0.0539,0.8467,0.0482
0,1,1,25,12,0.8833,0.0453,0.8517,0.0369
0,1,1,30,12,0.8933,0.0309,0.8617,0.0448
0,1,1,35,12,0.8767,0.0343,0.8617,0.0460
0,1,1,40,12,0.8833,0.0269,0.8517,0.0468
0,1,1,45,12,0.8883,0.0236,0.8533,0.0446
0,1,1,50,12,0.8783,0.0325,0.8650,0.0398
0,1,1,10,14,0.8867,0.0332,0.8550,0.0415
0,1,1,20,14,0.8833,0.0401,0.8500,0.0494
0,1,1,25,14,0.8733,0.0300,0.8700,0.0296
0,1,1,30,14,0.9017,0.0369,0.8633,0.0400
0,1,1,35,14,0.8883,0.0441,0.8617,0.0409
0,1,1,40,14,0.8767,0.0281,0.8633,0.0340
0,1,1,45,14,0.8800,0.0400,0.8567,0.0501
0,1,1,50,14,0.8750,0.0367,0.8683,0.0450
0,1,1,10,16,0.8900,0.0291,0.8583,0.0423
0,1,1,20,16,0.8883,0.0350,0.8517,0.0486
0,1,1,25,16,0.9000,0.0408,0.8533,0.0287
0,1,1,30,16,0.8967,0.0287,0.8683,0.0361
0,1,1,35,16,0.8750,0.0423,0.8567,0.0461
0,1,1,40,16,0.8800,0.0420,0.8650,0.0425
