d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.8483,0.0376,0.7867,0.0340
0,0,1,20,4,156,0.8783,0.0388,0.8117,0.0454
0,0,1,25,4,196,0.8683,0.0383,0.8083,0.0467
0,0,1,30,4,236,0.8783,0.0248,0.8400,0.0309
0,0,1,35,4,276,0.8800,0.0233,0.8333,0.0365
0,0,1,40,4,316,0.8600,0.0291,0.8333,0.0316
0,0,1,45,4,356,0.8817,0.0302,0.8283,0.0279
0,0,1,50,4,396,0.8733,0.0327,0.8350,0.0383
0,0,1,55,4,436,0.8817,0.0376,0.8350,0.0252
0,0,1,60,4,476,0.8683,0.0311,0.8433,0.0281
0,0,1,65,4,516,0.8617,0.0395,0.8167,0.0428
0,0,1,70,4,556,0.8750,0.0396,0.8350,0.0383
0,0,1,10,6,114,0.8800,0.0364,0.8200,0.0245
0,0,1,20,6,234,0.8733,0.0429,0.8433,0.0429
0,0,1,25,6,294,0.8567,0.0309,0.8367,0.0296
0,0,1,30,6,354,0.8817,0.0283,0.8367,0.0314
0,0,1,35,6,414,0.8750,0.0479,0.8400,0.0300
0,0,1,40,6,474,0.8683,0.0425,0.8383,0.0388
0,0,1,45,6,534,0.8767,0.0416,0.8300,0.0332
0,0,1,50,6,594,0.8783,0.0380,0.8450,0.0422
0,0,1,55,6,654,0.8717,0.0460,0.8400,0.0335
0,0,1,60,6,714,0.8883,0.0358,0.8517,0.0391
0,0,1,65,6,774,0.8783,0.0358,0.8350,0.0376
0,0,1,70,6,834,0.8817,0.0263,0.8400,0.0249
0,0,1,10,8,152,0.8850,0.0361,0.8300,0.0427
0,0,1,20,8,312,0.8683,0.0404,0.8483,0.0302
0,0,1,25,8,392,0.8683,0.0502,0.8400,0.0226
0,0,1,30,8,472,0.8783,0.0415,0.8600,0.0403
0,0,1,35,8,552,0.8617,0.0380,0.8450,0.0325
0,0,1,40,8,632,0.8667,0.0342,0.8383,0.0317
0,0,1,45,8,712,0.8683,0.0337,0.8433,0.0389
0,0,1,50,8,792,0.8667,0.0350,0.8483,0.0383
0,0,1,55,8,872,0.8650,0.0545,0.8533,0.0371
0,0,1,60,8,952,0.8683,0.0311,0.8500,0.0401
0,0,1,65,8,1032,0.8517,0.0513,0.8500,0.0380
0,0,1,70,8,1112,0.8700,0.0433,0.8533,0.0407
0,0,1,10,10,190,0.8783,0.0342,0.8450,0.0325
0,0,1,20,10,390,0.8883,0.0415,0.8550,0.0289
0,0,1,25,10,490,0.8867,0.0531,0.8517,0.0337
0,0,1,30,10,590,0.8750,0.0396,0.8650,0.0345
0,0,1,35,10,690,0.8617,0.0422,0.8533,0.0332
0,0,1,40,10,790,0.8600,0.0396,0.8550,0.0373
0,0,1,45,10,890,0.8517,0.0450,0.8450,0.0334
0,0,1,50,10,990,0.8583,0.0461,0.8617,0.0366
0,0,1,55,10,1090,0.8533,0.0306,0.8617,0.0415
0,0,1,60,10,1190,0.8750,0.0335,0.8583,0.0261
0,0,1,65,10,1290,0.8667,0.0527,0.8617,0.0388
0,0,1,70,10,1390,0.8550,0.0435,0.8533,0.0379
0,0,1,10,12,228,0.8800,0.0386,0.8517,0.0273
0,0,1,20,12,468,0.8967,0.0356,0.8617,0.0198
0,0,1,25,12,588,0.9000,0.0471,0.8500,0.0401
0,0,1,30,12,708,0.8750,0.0335,0.8650,0.0398
0,0,1,35,12,828,0.8550,0.0448,0.8700,0.0464
0,0,1,40,12,948,0.8717,0.0317,0.8650,0.0293
0,0,1,45,12,1068,0.8683,0.0217,0.8583,0.0310
0,0,1,50,12,1188,0.8717,0.0548,0.8717,0.0259
0,0,1,55,12,1308,0.8500,0.0477,0.8633,0.0356
0,0,1,60,12,1428,0.8667,0.0298,0.8617,0.0415
0,0,1,65,12,1548,0.8633,0.0364,0.8667,0.0350
0,0,1,70,12,1668,0.8567,0.0573,0.8550,0.0435
0,0,1,10,14,266,0.8817,0.0411,0.8517,0.0383
0,0,1,20,14,546,0.8900,0.0403,0.8633,0.0356
0,0,1,25,14,686,0.8717,0.0460,0.8567,0.0309
0,0,1,30,14,826,0.8767,0.0382,0.8650,0.0345
0,0,1,35,14,966,0.8700,0.0427,0.8700,0.0364
0,0,1,40,14,1106,0.8800,0.0314,0.8683,0.0376
