d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,10,190,0.9800,0.0400,0.9900,0.0300
0,1,0,10,4,76,0.9489,0.0680,0.9389,0.0671
0,0,1,10,4,76,0.9700,0.0640,0.9600,0.0663
0,0,1,10,8,152,0.9800,0.0400,0.9800,0.0400
0,0,1,10,14,266,0.9800,0.0400,0.9800,0.0400
0,0,1,10,18,342,0.9800,0.0400,0.9900,0.0300
0,0,1,10,24,456,0.9700,0.0640,0.9700,0.0640
0,0,1,10,20,380,0.9800,0.0400,0.9689,0.0476
0,1,0,10,8,152,0.9589,0.0504,0.9689,0.0476
0,1,0,10,10,190,0.9689,0.0476,0.9789,0.0423
0,1,0,10,14,266,0.9489,0.0512,0.9589,0.0504
0,1,0,10,18,342,0.9689,0.0476,0.9789,0.0423
0,1,1,10,4,148,0.9800,0.0400,0.9800,0.0400
0,1,1,10,8,296,0.9689,0.0476,0.9889,0.0333
0,1,0,10,20,380,0.9689,0.0476,0.9689,0.0476
0,1,1,10,10,370,0.9589,0.0504,0.9889,0.0333
0,1,0,10,24,456,0.9589,0.0504,0.9689,0.0476
0,1,1,10,14,518,0.9800,0.0400,0.9900,0.0300
1,0,0,10,4,76,0.9589,0.0504,0.9689,0.0476
1,0,0,10,8,152,0.9789,0.0423,0.9689,0.0476
1,0,0,10,10,190,0.9689,0.0476,0.9900,0.0300
1,0,0,10,14,266,0.9789,0.0423,0.9889,0.0333
1,0,0,10,18,342,0.9789,0.0423,0.9889,0.0333
0,1,1,10,18,666,0.9700,0.0458,0.9900,0.0300
1,0,0,10,20,380,0.9789,0.0423,0.9889,0.0333
1,0,1,10,4,148,0.9689,0.0476,0.9689,0.0476
1,0,1,10,8,296,0.9689,0.0476,0.9689,0.0476
0,1,1,10,20,740,0.9800,0.0400,0.9900,0.0300
1,0,0,10,24,456,0.9789,0.0423,0.9889,0.0333
1,0,1,10,10,370,0.9689,0.0476,0.9689,0.0476
0,1,1,10,24,888,0.9689,0.0476,0.9889,0.0333
1,0,1,10,14,518,0.9689,0.0476,0.9689,0.0476
1,1,0,10,4,148,0.9589,0.0504,0.9789,0.0423
1,1,0,10,8,296,0.9489,0.0512,0.9689,0.0476
1,1,0,10,10,370,0.9589,0.0504,0.9689,0.0476
1,0,1,10,18,666,0.9689,0.0476,0.9789,0.0423
1,1,1,10,4,220,0.9689,0.0476,0.9589,0.0504
1,0,1,10,20,740,0.9689,0.0476,0.9789,0.0423
1,1,0,10,14,518,0.9689,0.0476,0.9789,0.0423
1,1,0,10,18,666,0.9789,0.0423,0.9889,0.0333
1,1,0,10,20,740,0.9789,0.0423,0.9789,0.0423
1,1,1,10,8,440,0.9689,0.0476,0.9900,0.0300
1,0,1,10,24,888,0.9689,0.0476,0.9889,0.0333
1,1,1,10,10,550,0.9689,0.0476,0.9789,0.0423
