d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.9206,0.0521,0.9256,0.0383
0,0,1,10,6,114,0.9279,0.0451,0.9355,0.0295
0,0,1,10,8,152,0.9478,0.0305,0.9503,0.0335
0,0,1,10,10,190,0.9504,0.0368,0.9379,0.0339
0,0,1,10,12,228,0.9529,0.0302,0.9429,0.0315
0,0,1,10,14,266,0.9455,0.0379,0.9429,0.0275
0,0,1,10,16,304,0.9479,0.0378,0.9429,0.0353
0,0,1,10,18,342,0.9478,0.0378,0.9378,0.0341
0,0,1,10,20,380,0.9528,0.0344,0.9453,0.0333
0,0,1,10,22,418,0.9429,0.0371,0.9529,0.0360
0,0,1,10,24,456,0.9478,0.0362,0.9577,0.0337
0,1,0,10,4,76,0.9279,0.0379,0.9105,0.0374
0,1,0,10,6,114,0.9404,0.0298,0.9255,0.0295
0,1,0,10,8,152,0.9504,0.0333,0.9330,0.0386
0,1,0,10,10,190,0.9379,0.0302,0.9230,0.0345
0,1,0,10,12,228,0.9429,0.0223,0.9330,0.0225
0,1,0,10,14,266,0.9379,0.0257,0.9355,0.0278
0,1,0,10,16,304,0.9429,0.0250,0.9329,0.0318
0,1,0,10,18,342,0.9479,0.0206,0.9355,0.0356
0,1,0,10,20,380,0.9429,0.0197,0.9405,0.0319
0,1,0,10,22,418,0.9379,0.0257,0.9379,0.0375
0,1,0,10,24,456,0.9428,0.0276,0.9455,0.0242
0,1,1,10,4,148,0.9255,0.0273,0.9279,0.0362
0,1,1,10,6,222,0.9330,0.0333,0.9379,0.0299
0,1,1,10,8,296,0.9329,0.0389,0.9378,0.0376
0,1,1,10,10,370,0.9404,0.0320,0.9552,0.0351
0,1,1,10,12,444,0.9454,0.0382,0.9527,0.0396
0,1,1,10,14,518,0.9255,0.0430,0.9527,0.0363
0,1,1,10,16,592,0.9330,0.0388,0.9527,0.0307
0,1,1,10,18,666,0.9380,0.0337,0.9478,0.0285
0,1,1,10,20,740,0.9503,0.0419,0.9602,0.0391
0,1,1,10,22,814,0.9454,0.0400,0.9652,0.0320
0,1,1,10,24,888,0.9454,0.0444,0.9552,0.0313
