d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.6500,0.0850,0.6278,0.0820
0,0,1,10,6,114,0.6667,0.0816,0.6611,0.0875
0,0,1,10,8,152,0.7056,0.0724,0.6722,0.0853
0,0,1,10,10,190,0.7056,0.0831,0.6944,0.0926
0,0,1,10,12,228,0.7056,0.0896,0.7167,0.0707
0,0,1,10,14,266,0.6722,0.0533,0.7556,0.0797
0,0,1,10,16,304,0.6556,0.0956,0.7167,0.0882
0,0,1,10,18,342,0.6778,0.0946,0.7278,0.0749
0,0,1,10,20,380,0.6333,0.0577,0.7000,0.0707
0,0,1,10,22,418,0.6278,0.0975,0.6944,0.0685
0,0,1,10,24,456,0.6444,0.0762,0.7167,0.0913
0,1,0,10,4,76,0.6222,0.1227,0.6167,0.0745
0,1,0,10,6,114,0.6278,0.0629,0.6444,0.0724
0,1,0,10,8,152,0.6556,0.0896,0.6333,0.0782
0,1,0,10,10,190,0.6389,0.1048,0.6333,0.0745
0,1,0,10,12,228,0.6111,0.0614,0.6333,0.0782
0,1,0,10,14,266,0.6056,0.0762,0.6389,0.0657
0,1,0,10,16,304,0.6167,0.0745,0.6500,0.0707
0,1,0,10,18,342,0.6444,0.0864,0.6556,0.0497
0,1,0,10,20,380,0.6611,0.1021,0.6500,0.0667
0,1,0,10,22,418,0.6167,0.0816,0.6556,0.0831
0,1,0,10,24,456,0.6333,0.1000,0.6778,0.0671
0,1,1,10,4,148,0.6889,0.0515,0.6889,0.0657
0,1,1,10,6,222,0.6889,0.0657,0.6833,0.0408
0,1,1,10,8,296,0.7000,0.0527,0.7167,0.0624
0,1,1,10,10,370,0.7000,0.0707,0.7056,0.0643
0,1,1,10,12,444,0.7056,0.0956,0.6778,0.0853
0,1,1,10,14,518,0.6889,0.1173,0.7000,0.0624
0,1,1,10,16,592,0.6889,0.1021,0.6944,0.0831
0,1,1,10,18,666,0.6944,0.0984,0.7111,0.0994
0,1,1,10,20,740,0.7167,0.0816,0.7056,0.0797
0,1,1,10,22,814,0.6778,0.0711,0.7222,0.0629
0,1,1,10,24,888,0.6778,0.0820,0.7111,0.0809
1,0,0,10,4,76,0.6667,0.0745,0.6167,0.0943
1,0,0,10,6,114,0.6778,0.0671,0.7056,0.1039
1,0,0,10,8,152,0.6944,0.0643,0.6833,0.0882
1,0,0,10,10,190,0.6889,0.0809,0.6667,0.0816
1,0,0,10,12,228,0.6944,0.0831,0.7000,0.0913
1,0,0,10,14,266,0.7000,0.1000,0.6889,0.0567
1,0,0,10,16,304,0.6667,0.0816,0.7111,0.0809
1,0,0,10,18,342,0.6611,0.0737,0.7056,0.0598
1,0,0,10,20,380,0.7111,0.0614,0.7167,0.0408
1,0,0,10,22,418,0.7111,0.0657,0.7167,0.0745
1,0,0,10,24,456,0.6611,0.0567,0.7056,0.0926
1,0,1,10,4,148,0.7444,0.1039,0.6833,0.1247
1,0,1,10,6,222,0.6722,0.0853,0.6667,0.0850
1,0,1,10,8,296,0.7056,0.0283,0.6944,0.0497
1,0,1,10,10,370,0.6889,0.0657,0.7111,0.0567
1,0,1,10,12,444,0.6778,0.0671,0.7111,0.0774
1,0,1,10,14,518,0.6889,0.0698,0.7444,0.0598
1,0,1,10,16,592,0.7111,0.0737,0.7278,0.0533
1,0,1,10,18,666,0.7111,0.0657,0.7389,0.0809
1,0,1,10,20,740,0.7000,0.0527,0.7389,0.0567
1,0,1,10,22,814,0.7167,0.0471,0.7389,0.0458
1,0,1,10,24,888,0.7056,0.0762,0.7333,0.0882
1,1,0,10,4,148,0.6500,0.0882,0.7000,0.0816
1,1,0,10,6,222,0.7111,0.0809,0.7167,0.0707
1,1,0,10,8,296,0.6722,0.0671,0.7278,0.0711
1,1,0,10,10,370,0.6611,0.0567,0.7278,0.0478
1,1,0,10,12,444,0.6778,0.1057,0.7500,0.0624
1,1,0,10,14,518,0.7167,0.0471,0.7444,0.0550
1,1,0,10,16,592,0.6833,0.0408,0.7111,0.0698
1,1,0,10,18,666,0.6667,0.0707,0.7389,0.0737
1,1,0,10,20,740,0.7000,0.0782,0.7222,0.0786
1,1,0,10,22,814,0.6778,0.1083,0.7278,0.0946
1,1,0,10,24,888,0.6611,0.0698,0.6889,0.0965
1,1,1,10,4,220,0.6944,0.0598,0.7000,0.0913
1,1,1,10,6,330,0.6944,0.0497,0.7000,0.0624
1,1,1,10,8,440,0.6778,0.0853,0.7333,0.0745
1,1,1,10,10,550,0.7000,0.0816,0.7111,0.0567
1,1,1,10,12,660,0.6944,0.0896,0.7333,0.0408
1,1,1,10,14,770,0.6722,0.0853,0.7222,0.0711
1,1,1,10,16,880,0.6944,0.0685,0.7222,0.0583
1,1,1,10,18,990,0.6444,0.0984,0.6889,0.0809
1,1,1,10,20,1100,0.6611,0.0698,0.6944,0.0643
