d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.8460,0.0156,0.8015,0.0118
0,0,1,10,6,114,0.8683,0.0105,0.8280,0.0096
0,0,1,10,8,152,0.8881,0.0156,0.8476,0.0132
0,0,1,10,10,190,0.8899,0.0116,0.8494,0.0124
0,0,1,10,12,228,0.9018,0.0082,0.8561,0.0161
0,0,1,10,14,266,0.9024,0.0090,0.8616,0.0110
0,0,1,10,16,304,0.9095,0.0080,0.8637,0.0138
0,0,1,10,18,342,0.9058,0.0125,0.8655,0.0120
0,0,1,10,20,380,0.9113,0.0107,0.8662,0.0129
0,0,1,10,22,418,0.9079,0.0097,0.8701,0.0121
0,1,0,10,4,76,0.8165,0.0234,0.7527,0.0174
0,0,1,10,24,456,0.9058,0.0141,0.8701,0.0142
0,1,0,10,6,114,0.8268,0.0238,0.7683,0.0159
0,1,0,10,8,152,0.8451,0.0264,0.7811,0.0183
0,1,0,10,10,190,0.8473,0.0269,0.7963,0.0197
0,1,0,10,12,228,0.8576,0.0251,0.8024,0.0215
0,1,0,10,14,266,0.8573,0.0144,0.8006,0.0222
0,1,0,10,16,304,0.8534,0.0192,0.8000,0.0216
0,1,0,10,18,342,0.8506,0.0160,0.8058,0.0233
0,1,0,10,20,380,0.8564,0.0172,0.8152,0.0217
0,1,0,10,22,418,0.8558,0.0212,0.8091,0.0238
0,1,1,10,4,76,0.8582,0.0121,0.8165,0.0197
0,1,1,10,6,114,0.8756,0.0085,0.8338,0.0111
0,1,1,10,8,152,0.8963,0.0101,0.8552,0.0091
0,1,1,10,10,190,0.8936,0.0105,0.8610,0.0096
0,1,0,10,24,456,0.8598,0.0189,0.8189,0.0235
0,1,1,10,12,228,0.9085,0.0147,0.8735,0.0088
0,1,1,10,14,266,0.9064,0.0126,0.8780,0.0152
0,1,1,10,16,304,0.9119,0.0125,0.8762,0.0151
0,1,1,10,18,342,0.9113,0.0148,0.8790,0.0125
0,1,1,10,20,380,0.9204,0.0124,0.8857,0.0128
0,1,1,10,22,418,0.9155,0.0138,0.8863,0.0097
1,0,0,10,4,76,0.8668,0.0236,0.8076,0.0224
0,1,1,10,24,456,0.9171,0.0113,0.8927,0.0104
1,0,0,10,6,114,0.8845,0.0123,0.8226,0.0179
1,0,0,10,8,152,0.8915,0.0176,0.8546,0.0210
1,0,0,10,10,190,0.8918,0.0125,0.8549,0.0213
1,0,0,10,12,228,0.8930,0.0115,0.8479,0.0233
1,0,0,10,14,266,0.8954,0.0117,0.8540,0.0220
1,0,0,10,16,304,0.8997,0.0095,0.8537,0.0196
1,0,0,10,18,342,0.9009,0.0087,0.8601,0.0245
1,0,0,10,20,380,0.9027,0.0133,0.8610,0.0217
1,0,0,10,22,418,0.9018,0.0105,0.8601,0.0227
1,0,1,10,4,76,0.8896,0.0090,0.8622,0.0108
1,0,1,10,6,114,0.8966,0.0130,0.8619,0.0112
1,0,1,10,8,152,0.9030,0.0098,0.8845,0.0165
1,0,0,10,24,456,0.8976,0.0097,0.8595,0.0233
1,0,1,10,10,190,0.9076,0.0088,0.8808,0.0085
1,0,1,10,12,228,0.9204,0.0093,0.8878,0.0083
1,0,1,10,14,266,0.9253,0.0129,0.8942,0.0123
1,0,1,10,16,304,0.9207,0.0136,0.8985,0.0115
1,0,1,10,18,342,0.9250,0.0130,0.8988,0.0096
1,0,1,10,20,380,0.9265,0.0059,0.9009,0.0120
1,0,1,10,22,418,0.9280,0.0114,0.9095,0.0155
1,1,0,10,4,76,0.8622,0.0140,0.8143,0.0241
1,1,0,10,6,114,0.8713,0.0223,0.8229,0.0225
1,0,1,10,24,456,0.9280,0.0105,0.9006,0.0130
1,1,0,10,8,152,0.8957,0.0144,0.8591,0.0200
1,1,0,10,10,190,0.8976,0.0151,0.8570,0.0206
1,1,0,10,12,228,0.8973,0.0094,0.8534,0.0174
1,1,0,10,14,266,0.8948,0.0165,0.8549,0.0235
1,1,0,10,16,304,0.8994,0.0083,0.8671,0.0193
1,1,0,10,18,342,0.8991,0.0150,0.8634,0.0218
1,1,0,10,20,380,0.8997,0.0114,0.8662,0.0231
1,1,0,10,22,418,0.9040,0.0108,0.8744,0.0161
1,1,1,10,4,76,0.8649,0.0154,0.8101,0.0239
1,1,1,10,6,114,0.8966,0.0106,0.8732,0.0113
1,1,1,10,8,152,0.9046,0.0101,0.8793,0.0135
1,1,0,10,24,456,0.9018,0.0133,0.8665,0.0180
1,1,1,10,10,190,0.9091,0.0065,0.8823,0.0081
1,1,1,10,12,228,0.9155,0.0083,0.8909,0.0076
1,1,1,10,14,266,0.9192,0.0089,0.8945,0.0094
1,1,1,10,16,304,0.9226,0.0116,0.8985,0.0095
1,1,1,10,18,342,0.9216,0.0116,0.9037,0.0079
