d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.7296,0.0459,0.7000,0.0612
0,0,1,10,6,114,0.7416,0.0530,0.6971,0.0355
0,0,1,10,8,152,0.7236,0.0530,0.7205,0.0446
0,0,1,10,10,190,0.7358,0.0680,0.7268,0.0462
0,0,1,10,12,228,0.7355,0.0626,0.7295,0.0515
0,0,1,10,14,266,0.7323,0.0497,0.7385,0.0413
0,0,1,10,16,304,0.7620,0.0555,0.7443,0.0431
0,0,1,10,18,342,0.7472,0.0703,0.7472,0.0405
0,0,1,10,20,380,0.7297,0.0606,0.7444,0.0411
0,1,0,10,4,76,0.7002,0.0386,0.6323,0.0525
0,1,0,10,6,114,0.7299,0.0552,0.6618,0.0506
0,0,1,10,22,418,0.7267,0.0573,0.7501,0.0359
0,1,0,10,8,152,0.7384,0.0477,0.7118,0.0382
0,1,0,10,10,190,0.7180,0.0556,0.7207,0.0290
0,1,0,10,12,228,0.7206,0.0410,0.7326,0.0349
0,0,1,10,24,456,0.7619,0.0626,0.7560,0.0319
0,1,0,10,14,266,0.7360,0.0997,0.7325,0.0339
0,1,0,10,16,304,0.7447,0.0705,0.7209,0.0460
0,1,0,10,18,342,0.7446,0.0626,0.7211,0.0634
0,1,0,10,20,380,0.7504,0.0488,0.7210,0.0581
0,1,1,10,4,148,0.7739,0.0403,0.7175,0.0345
0,1,0,10,22,418,0.7476,0.0617,0.7386,0.0607
0,1,0,10,24,456,0.7592,0.0474,0.7417,0.0619
0,1,1,10,6,222,0.7474,0.0377,0.7265,0.0416
0,1,1,10,10,370,0.7475,0.0498,0.7270,0.0572
0,1,1,10,8,296,0.7384,0.0541,0.7413,0.0365
0,1,1,10,12,444,0.7503,0.0581,0.7621,0.0472
0,1,1,10,14,518,0.7444,0.0897,0.7709,0.0518
0,1,1,10,16,592,0.7447,0.0769,0.7621,0.0578
0,1,1,10,18,666,0.7710,0.0654,0.7738,0.0486
0,1,1,10,20,740,0.7533,0.0951,0.7651,0.0581
1,0,0,10,4,76,0.7620,0.0462,0.6970,0.0508
1,0,0,10,6,114,0.7796,0.0408,0.7413,0.0223
1,0,0,10,8,152,0.7827,0.0715,0.7326,0.0454
1,0,0,10,10,190,0.7827,0.0603,0.7501,0.0589
1,0,0,10,12,228,0.7827,0.0542,0.7648,0.0323
0,1,1,10,22,814,0.7443,0.0839,0.7681,0.0682
1,0,0,10,14,266,0.7740,0.0869,0.7353,0.0433
1,0,0,10,16,304,0.7709,0.0419,0.7618,0.0337
1,0,0,10,18,342,0.7767,0.0562,0.7530,0.0384
1,0,0,10,20,380,0.7826,0.0593,0.7620,0.0432
0,1,1,10,24,888,0.7534,0.0821,0.7651,0.0568
1,0,0,10,22,418,0.7765,0.0669,0.7766,0.0579
1,0,1,10,4,148,0.7417,0.0527,0.7412,0.0308
1,0,0,10,24,456,0.7708,0.0620,0.7649,0.0644
1,0,1,10,6,222,0.7767,0.0541,0.7443,0.0369
1,0,1,10,10,370,0.7709,0.0725,0.7883,0.0333
1,0,1,10,8,296,0.7650,0.0468,0.7766,0.0364
1,0,1,10,12,444,0.7647,0.0417,0.7856,0.0383
1,0,1,10,14,518,0.7620,0.0761,0.7943,0.0546
1,0,1,10,16,592,0.7558,0.0629,0.7675,0.0422
1,0,1,10,18,666,0.7649,0.0587,0.7793,0.0244
1,0,1,10,20,740,0.7150,0.0904,0.7766,0.0342
1,1,0,10,4,148,0.7503,0.0641,0.7355,0.0657
1,1,0,10,6,222,0.7681,0.0470,0.7503,0.0285
1,0,1,10,22,814,0.7504,0.0704,0.7826,0.0484
1,1,0,10,8,296,0.7796,0.0428,0.7471,0.0301
1,1,0,10,10,370,0.7617,0.0601,0.7324,0.0502
1,1,0,10,12,444,0.7356,0.0476,0.7561,0.0631
1,1,0,10,14,518,0.7825,0.0484,0.7648,0.0547
1,0,1,10,24,888,0.7324,0.0743,0.7943,0.0461
1,1,0,10,16,592,0.7652,0.0770,0.7676,0.0658
1,1,0,10,18,666,0.7591,0.0478,0.7825,0.0471
1,1,0,10,20,740,0.7857,0.0815,0.7824,0.0518
1,1,1,10,4,220,0.7652,0.0506,0.7679,0.0299
1,1,0,10,22,814,0.7886,0.0852,0.7708,0.0606
1,1,1,10,6,330,0.7768,0.0468,0.7385,0.0376
1,1,0,10,24,888,0.7738,0.0653,0.7855,0.0747
1,1,1,10,8,440,0.7558,0.0423,0.7676,0.0073
1,1,1,10,10,550,0.7530,0.0502,0.7589,0.0294
1,1,1,10,12,660,0.7562,0.0789,0.7647,0.0406
1,1,1,10,14,770,0.7677,0.0560,0.7735,0.0424
1,1,1,10,16,880,0.7709,0.0533,0.7824,0.0548
1,1,1,10,18,990,0.7679,0.0462,0.7913,0.0589
1,1,1,10,20,1100,0.7560,0.0779,0.7942,0.0521
0,0,1,20,4,156,0.7675,0.0525,0.7207,0.0657
0,0,1,20,6,234,0.7650,0.0651,0.7441,0.0356
0,0,1,20,8,312,0.7708,0.0453,0.7620,0.0449
0,0,1,20,10,390,0.7500,0.0466,0.7589,0.0695
0,0,1,20,12,468,0.7381,0.0719,0.7500,0.0385
1,1,1,10,22,1210,0.7562,0.0604,0.7796,0.0485
0,0,1,20,14,546,0.7707,0.0677,0.7648,0.0364
0,0,1,20,16,624,0.7413,0.0887,0.7650,0.0483
0,0,1,20,18,702,0.7736,0.0718,0.7708,0.0522
1,1,1,10,24,1320,0.7474,0.0769,0.7563,0.0696
0,0,1,20,20,780,0.7591,0.0716,0.7707,0.0576
0,1,0,20,4,156,0.7386,0.0609,0.6616,0.0560
0,1,0,20,6,234,0.7386,0.0536,0.6886,0.0524
0,1,0,20,8,312,0.7150,0.0607,0.7117,0.0418
0,0,1,20,22,858,0.7562,0.0925,0.7796,0.0655
0,1,0,20,10,390,0.7328,0.0758,0.7176,0.0265
0,0,1,20,24,936,0.7619,0.0662,0.7708,0.0701
0,1,0,20,12,468,0.7267,0.0678,0.7267,0.0454
