d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.8231,0.0348,0.7352,0.0654
0,0,1,10,6,114,0.8480,0.0286,0.7814,0.0384
0,0,1,10,8,152,0.8605,0.0258,0.7894,0.0354
0,0,1,10,10,190,0.8711,0.0315,0.8205,0.0418
0,0,1,10,12,228,0.8649,0.0323,0.8240,0.0340
0,0,1,10,14,266,0.8738,0.0367,0.8400,0.0436
0,0,1,10,16,304,0.8738,0.0310,0.8427,0.0447
0,0,1,10,18,342,0.8773,0.0260,0.8365,0.0338
0,0,1,10,20,380,0.8623,0.0358,0.8365,0.0432
0,1,0,10,4,76,0.8089,0.0469,0.6666,0.0404
0,1,0,10,6,114,0.8489,0.0364,0.7218,0.0192
0,1,0,10,8,152,0.8480,0.0429,0.7450,0.0478
0,1,0,10,10,190,0.8587,0.0241,0.7645,0.0404
0,0,1,10,22,418,0.8720,0.0293,0.8471,0.0282
0,1,0,10,12,228,0.8631,0.0177,0.7609,0.0405
0,1,0,10,14,266,0.8738,0.0387,0.8009,0.0328
0,1,0,10,16,304,0.8783,0.0345,0.8062,0.0316
0,1,0,10,18,342,0.8641,0.0471,0.8062,0.0493
0,1,0,10,20,380,0.8729,0.0348,0.8258,0.0356
0,0,1,10,24,456,0.8667,0.0340,0.8391,0.0343
0,1,1,10,4,76,0.8498,0.0320,0.7645,0.0326
0,1,1,10,6,114,0.8649,0.0295,0.7983,0.0505
0,1,0,10,22,418,0.8631,0.0354,0.8213,0.0364
0,1,1,10,8,152,0.8720,0.0357,0.8169,0.0335
0,1,1,10,10,190,0.8783,0.0367,0.8258,0.0401
0,1,1,10,12,228,0.8915,0.0307,0.8400,0.0350
0,1,0,10,24,456,0.8640,0.0379,0.8312,0.0459
0,1,1,10,14,266,0.8880,0.0272,0.8267,0.0253
0,1,1,10,16,304,0.8854,0.0276,0.8444,0.0328
0,1,1,10,18,342,0.8978,0.0313,0.8614,0.0342
0,1,1,10,20,380,0.9022,0.0339,0.8649,0.0330
1,0,0,10,4,76,0.8418,0.0293,0.7547,0.0298
0,1,1,10,22,418,0.9040,0.0350,0.8640,0.0273
1,0,0,10,6,114,0.8569,0.0352,0.7786,0.0368
1,0,0,10,8,152,0.8729,0.0317,0.8036,0.0377
1,0,0,10,10,190,0.8782,0.0359,0.8143,0.0409
1,0,0,10,12,228,0.8827,0.0363,0.8258,0.0481
0,1,1,10,24,456,0.8845,0.0302,0.8703,0.0338
1,0,0,10,14,266,0.8916,0.0371,0.8401,0.0421
1,0,0,10,16,304,0.8818,0.0413,0.8392,0.0407
1,0,0,10,18,342,0.8906,0.0246,0.8587,0.0344
1,0,0,10,20,380,0.8880,0.0329,0.8605,0.0351
1,0,1,10,4,76,0.8409,0.0280,0.7618,0.0331
1,0,1,10,6,114,0.8649,0.0356,0.8125,0.0445
1,0,0,10,22,418,0.9014,0.0279,0.8712,0.0326
1,0,1,10,8,152,0.8827,0.0268,0.8249,0.0459
1,0,1,10,10,190,0.8774,0.0445,0.8347,0.0423
1,0,1,10,12,228,0.8862,0.0487,0.8534,0.0240
1,0,0,10,24,456,0.8898,0.0300,0.8667,0.0389
1,0,1,10,14,266,0.8907,0.0343,0.8507,0.0379
1,0,1,10,16,304,0.8969,0.0337,0.8596,0.0300
