d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.9724,0.0465,0.9795,0.0313
0,1,0,10,4,76,0.9795,0.0313,0.9729,0.0333
0,1,1,10,4,148,0.9800,0.0306,0.9800,0.0306
1,0,0,10,4,76,0.9867,0.0267,0.9867,0.0267
1,0,1,10,4,148,0.9867,0.0267,0.9795,0.0313
1,1,0,10,4,148,0.9867,0.0267,0.9724,0.0339
1,1,1,10,4,220,0.9933,0.0200,0.9800,0.0306
0,0,1,20,4,156,0.9729,0.0447,0.9867,0.0267
0,1,0,20,4,156,0.9795,0.0313,0.9657,0.0469
0,1,1,20,4,308,0.9733,0.0442,0.9733,0.0442
1,0,0,20,4,156,0.9795,0.0313,0.9867,0.0267
1,0,1,20,4,308,0.9867,0.0400,0.9733,0.0442
1,1,0,20,4,308,0.9795,0.0313,0.9586,0.0466
1,1,1,20,4,460,0.9933,0.0200,0.9867,0.0267
0,0,1,10,6,114,0.9795,0.0313,0.9795,0.0313
0,1,0,10,6,114,0.9867,0.0400,0.9867,0.0267
0,1,1,10,6,222,0.9867,0.0267,0.9800,0.0306
1,0,0,10,6,114,0.9933,0.0200,0.9790,0.0320
1,0,1,10,6,222,0.9867,0.0267,0.9729,0.0333
1,1,0,10,6,222,0.9867,0.0267,0.9867,0.0267
1,1,1,10,6,330,0.9933,0.0200,0.9800,0.0306
0,0,1,20,6,234,0.9724,0.0339,0.9724,0.0339
0,1,0,20,6,234,0.9933,0.0200,0.9933,0.0200
0,1,1,20,6,462,0.9795,0.0313,0.9800,0.0306
1,0,0,20,6,234,0.9862,0.0276,0.9867,0.0267
1,0,1,20,6,462,0.9867,0.0267,0.9729,0.0333
1,1,0,20,6,462,0.9795,0.0313,0.9867,0.0267
1,1,1,20,6,690,0.9867,0.0400,0.9800,0.0306
